producer,Total,Total,Total,Total,Total,Total,HQP,HQP,HQP,HQP,HQP,HQP,industry,industry,industry
date,Hydraulic turbine (4),Conventional steam turbine (5),Nuclear steam turbine (6),Internal combustion turbine (7),Combustion turbine (8),Wind power turbine (10),Hydraulic turbine (4),Conventional steam turbine (5),Nuclear steam turbine (6),Internal combustion turbine (7),Combustion turbine (8),Wind power turbine (10),Hydraulic turbine (4),Conventional steam turbine (5),Internal combustion turbine (7)
01/08/2008,13701243,98323,370878,8636,14860,23648,11648954,53609,370878,8636,14860,23648,2052289,44714,0
01/09/2008,12478219,89795,421147,18188,14307,29851,10828507,46109,421147,18188,14307,29851,1649712,43686,0
01/10/2008,13488685,63368,436045,20199,15909,42617,11912578,28662,436045,20199,15909,42617,1576107,34706,0
01/11/2008,14911686,90789,440078,23087,18120,34680,13232205,48485,440078,23087,18120,34680,1679481,42304,0
01/12/2008,18982856,117618,459426,28636,23072,40626,17370453,83559,459426,28636,23072,40626,1612403,34059,0
01/01/2009,20633434,287738,447133,31267,21634,45001,18904781,242649,447133,31267,21634,45001,1728653,45089,0
01/02/2009,17693773,112828,408932,25771,18738,32402,16239322,71827,408932,25771,18738,32402,1454451,41001,0
01/03/2009,17017817,97754,393722,26132,20164,39105,15441488,61712,393722,26132,20164,39105,1576329,36042,0
01/04/2009,13873206,92624,-5412,22454,14344,40995,12328310,71654,-5412,22454,14344,40995,1544896,20970,0
01/05/2009,13441365,77468,-4878,20787,15520,29412,11965268,44282,-4878,20787,15520,29412,1476097,33186,0
01/06/2009,13794378,87240,-4862,18425,14854,17474,12087774,44476,-4862,18425,14854,17474,1706604,42764,0
01/07/2009,14161205,92055,189868,18357,15628,18009,12434060,48929,189868,18357,15628,18009,1727145,43126,0
01/08/2009,14634420,95098,438947,18146,15736,23065,12906493,50956,438947,18146,15736,23065,1727927,44142,0
01/09/2009,13507548,88404,435062,18346,15396,32400,11827325,46892,435062,18346,15396,32400,1680223,41512,0
01/10/2009,16091278,80743,419087,22073,16883,29772,14523959,35499,419087,22073,16883,29772,1567319,45244,0
01/11/2009,14512046,-12947,432962,23451,18063,42162,12961053,-57559,432962,23451,18063,42162,1550993,44612,0
01/12/2009,18504467,202670,445718,27919,20275,28326,16934786,163067,445718,27919,20275,28326,1569681,39603,0
