"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-06-01 00:00","2013","06","01","00:00","‡","24.1","","16.7","","63","","24","","16","","24.1","","100.68","","29","","","","NA"
"2013-06-01 01:00","2013","06","01","01:00","‡","22.9","","16.8","","68","","22","","14","","24.1","","100.67","","28","","","","Mostly Cloudy"
"2013-06-01 02:00","2013","06","01","02:00","‡","21.5","","16.8","","74","","21","","12","","24.1","","100.67","","27","","","","NA"
"2013-06-01 03:00","2013","06","01","03:00","‡","21.1","","16.6","","75","","20","","18","","24.1","","100.64","","26","","","","NA"
"2013-06-01 04:00","2013","06","01","04:00","‡","21.1","","16.8","","76","","21","","14","","24.1","","100.65","","26","","","","Mainly Clear"
"2013-06-01 05:00","2013","06","01","05:00","‡","21.0","","16.7","","76","","20","","13","","24.1","","100.68","","26","","","","NA"
"2013-06-01 06:00","2013","06","01","06:00","‡","22.3","","16.9","","71","","23","","21","","24.1","","100.75","","28","","","","NA"
"2013-06-01 07:00","2013","06","01","07:00","‡","24.0","","17.8","","68","","24","","22","","24.1","","100.80","","30","","","","Mostly Cloudy"
"2013-06-01 08:00","2013","06","01","08:00","‡","23.9","","18.0","","69","","26","","22","","24.1","","100.78","","30","","","","NA"
"2013-06-01 09:00","2013","06","01","09:00","‡","23.8","","18.5","","72","","22","","16","","24.1","","100.76","","30","","","","NA"
"2013-06-01 10:00","2013","06","01","10:00","‡","24.4","","18.5","","69","","22","","14","","24.1","","100.72","","31","","","","Mostly Cloudy"
"2013-06-01 11:00","2013","06","01","11:00","‡","26.1","","18.9","","64","","19","","15","","24.1","","100.67","","33","","","","NA"
"2013-06-01 12:00","2013","06","01","12:00","‡","27.3","","18.2","","57","","23","","21","","24.1","","100.55","","33","","","","NA"
"2013-06-01 13:00","2013","06","01","13:00","‡","28.6","","18.6","","54","","24","","17","","24.1","","100.49","","35","","","","Mostly Cloudy"
"2013-06-01 14:00","2013","06","01","14:00","‡","28.8","","19.3","","56","","20","","17","","24.1","","100.45","","36","","","","NA"
"2013-06-01 15:00","2013","06","01","15:00","‡","29.3","","20.1","","57","","23","","16","","48.3","","100.40","","37","","","","NA"
"2013-06-01 16:00","2013","06","01","16:00","‡","28.7","","19.0","","55","","22","","21","","48.3","","100.35","","35","","","","Cloudy"
"2013-06-01 17:00","2013","06","01","17:00","‡","28.7","","19.8","","58","","22","","21","","48.3","","100.28","","36","","","","NA"
"2013-06-01 18:00","2013","06","01","18:00","‡","28.3","","18.9","","56","","23","","21","","48.3","","100.25","","35","","","","NA"
"2013-06-01 19:00","2013","06","01","19:00","‡","26.9","","18.6","","60","","20","","10","","24.1","","100.20","","33","","","","Cloudy"
"2013-06-01 20:00","2013","06","01","20:00","‡","21.1","","20.1","","94","","21","","23","","6.4","","100.38","","29","","","","Thunderstorms,Rain Showers"
"2013-06-01 21:00","2013","06","01","21:00","‡","20.4","","19.3","","93","","20","","24","","24.1","","100.39","","27","","","","Rain Showers"
"2013-06-01 22:00","2013","06","01","22:00","‡","20.4","","19.6","","95","","21","","19","","24.1","","100.30","","28","","","","Cloudy"
"2013-06-01 23:00","2013","06","01","23:00","‡","20.5","","19.2","","92","","24","","11","","19.3","","100.32","","27","","","","NA"
"2013-06-02 00:00","2013","06","02","00:00","‡","21.2","","19.4","","89","","22","","15","","19.3","","100.29","","28","","","","NA"
