"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.75"
"Elevation","36.00"
"Climate Identifier","7025250"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2009-06-01 00:00","2009","06","01","00:00"," ","5.2","","1.1","","75","","25","","17","","25.0","","100.94","","","","","","Clear"
"2009-06-01 01:00","2009","06","01","01:00"," ","5.7","","1.4","","74","","27","","13","","25.0","","100.94","","","","","","Clear"
"2009-06-01 02:00","2009","06","01","02:00"," ","5.5","","1.3","","74","","29","","20","","25.0","","100.94","","","","","","Clear"
"2009-06-01 03:00","2009","06","01","03:00"," ","5.2","","1.5","","77","","28","","11","","25.0","","100.99","","","","","","Mainly Clear"
"2009-06-01 04:00","2009","06","01","04:00"," ","5.4","","1.7","","77","","24","","17","","25.0","","101.04","","","","","","Mostly Cloudy"
"2009-06-01 05:00","2009","06","01","05:00"," ","5.4","","2.0","","79","","24","","17","","25.0","","101.10","","","","","","Mostly Cloudy"
"2009-06-01 06:00","2009","06","01","06:00"," ","7.6","","3.0","","73","","26","","20","","48.3","","101.15","","","","","","Mostly Cloudy"
"2009-06-01 07:00","2009","06","01","07:00"," ","7.9","","2.6","","69","","25","","20","","48.3","","101.20","","","","","","Mostly Cloudy"
"2009-06-01 08:00","2009","06","01","08:00"," ","8.9","","3.1","","67","","25","","28","","48.3","","101.24","","","","","","Mostly Cloudy"
"2009-06-01 09:00","2009","06","01","09:00"," ","10.9","","4.0","","62","","27","","19","","48.3","","101.22","","","","","","Mostly Cloudy"
"2009-06-01 10:00","2009","06","01","10:00"," ","12.0","","3.8","","57","","26","","24","","48.3","","101.18","","","","","","Cloudy"
"2009-06-01 11:00","2009","06","01","11:00"," ","13.1","","2.8","","50","","24","","32","","48.3","","101.21","","","","","","Cloudy"
