Name;Watersheds;River or other watercourse;Type;Installed capacity (MW);Number of units;Head (m);Commissioning  date
Robert-Bourassa ;La Grande;Grande Rivière ;Reservoir ;5616,00;16,00;137,16;1979– 1981
La Grande-4 ;La Grande;Grande Rivière ;Reservoir ;2779,00;9,00;116,7;1984– 1986
La Grande-3 ;La Grande;Grande Rivière ;Reservoir ;2417,00;12,00;79;1982– 1984
La Grande-2-A ;La Grande;Grande Rivière ;Reservoir ;2106,00;6,00;138,5;1991– 1992
Beauharnois ;Fleuve Saint-Laurent;Lac Saint-François and canal de Bauharnois;Run-of- river;1853,00;36,00;24,39;1932– 1961
Manic-5 ;Manicouagan;Manicouagan ;Reservoir ;1596,00;8,00;141,8;1970– 1971
La Grande-1 ;La Grande;Grande Rivière ;Run-of- river;1436,00;12,00;27,5;1994– 1995
René-Lévesque    (Manic-3) ;Manicouagan;Manicouagan ;Run-of- river;1326,00;6,00;94,19;1975– 1976
Jean-Lesage    (Manic-2) ;Manicouagan;Manicouagan ;Run-of- river;1229,00;8,00;70,11;1965– 1967
Bersimis-1 ;Betsiamites;Betsiamites ;Reservoir ;1178,00;8,00;266,7;1956– 1959
Manic-5-PA ;Manicouagan;Manicouagan ;Reservoir ;1064,00;4,00;144,5;1989– 1990
Outardes-3 ;Aux Outardes;Aux Outardes ;Run-of- river;1026,00;4,00;143,57;1969 
Sainte-Marguerite-3;Sainte-Marguerite; Sainte-Marguerite;Reservoir ;882,00;2,00;330; 2003
Laforge-1 ;La Grande;Laforge ;Reservoir ;878,00;6,00;57,3;1993– 1994
Bersimis-2 ;Betsiamites;Betsiamites ;Run-of- river;869,00;5,00;115,83;1959– 1960
Outardes-4;Aux Outardes;Aux Outardes;Run-of- river;785,00;4,00;120,55;1960 1969
Eastmain-1-A ;La Grande;Rivière Eastmain;Reservoir ;768,00;3,00;63;2011- 2012
Carillon ;Outaouais (lower);Outaouais ;Run-of- river;753,00;14,00;17,99;1962– 1964
Romaine-2;Romaine;Romaine;Reservoir ;640,00;2,00;156;2014
Toulnustouc;Manicouagan Aux Outardes;Toulnustouc Aux Outardes;Reservoir ;526,00;2,00;152;2005
Outardes-2 ;Aux Outardes;Aux Outardes ;Run-of- river;523,00;3,00;82,3;1978 
Eastmain-1 ;La Grande;Rivière Eastmain;Reservoir ;480,00;3,00;63;2006 
Brisay;La Grande;Eastmain Caniapiscau;Reservoir ;469,00;2,00;37,5; 1993
Péribonka ;Péribonka;Péribonka ;Run-of- river;385,00;3,00;67,6;2007– 2008
Laforge-2 ;La Grande;Laforge ;Run-of- river;319,00;2,00;27,4;1996 
Trenche ;Saint-Maurice;Saint-Maurice ;Run-of- river;302,00;6,00;48,47;1950– 1955
La Tuque ;Saint-Maurice;Saint-Maurice ;Run-of- river;294,00;6,00;34,75;1940– 1955
Beaumont ;Saint-Maurice;Saint-Maurice ;Run-of- river;270,00;6,00;37,8;1958– 1959
Romaine-1 ;Romaine;Romaine ;Run-of- river;270,00;2,00;61,5;2015 
McCormick4 ;Manicouagan;Manicouagan ;Run-of- river;235,00;7,00;37,8;1952 
Rocher-de- Grand-Mère;Saint-Maurice;Saint-Maurice ;Run-of- river;230,00;3,00;24,3;2004 
Paugan ;Outaouais (lower);Gatineau ;Run-of- river;226,00;8,00;40,54;1928– 1956
Rapide-Blanc ;Saint-Maurice;Saint-Maurice ;Reservoir ;204,00;6,00;32,92;1934– 1955
Shawinigan-2 ;Saint-Maurice;Saint-Maurice ;Run-of- river;200,00;8,00;44,2;1911– 1929
Shawinigan-3 ;Saint-Maurice;Saint-Maurice ;Run-of- river;194,00;3,00;44,2;1948– 1949
Manic-1 ;Manicouagan;Manicouagan ;Run-of- river;184,00;3,00;36,58;1966– 1967
Rapides-des-Îles ;Outaouais (upper);Outaouais ;Run-of- river;176,00;4,00;26,22;1966– 1973
Chelsea ;Outaouais (lower);Gatineau ;Run-of- river;152,00;5,00;28,35;1927– 1939
Sarcelle ;La Grande;Rivière Eastmain;Run-of- river;150,00;3,00;8.7 à 16.1 ;2013 
La Gabelle ;Saint-Maurice;Saint-Maurice ;Run-of- river;131,00;5,00;17,38;1924– 1931
Première-Chute ;Outaouais (upper);Outaouais ;Run-of- river;131,00;4,00;22,26;1968– 1975
Les Cèdres ;St. Lawrence River;Saint-Laurent ;Run-of- river;113,00;12,00;9,14;1914– 1924
Rapides-Farmer ;Outaouais (lower);Gatineau ;Run-of- river;104,00;5,00;20,12;1927– 1947
Rapides-des-Quinze ;Outaouais (upper);Outaouais ;Run-of- river;103,00;6,00;25,9;1923– 1955
Chute-des-Chats ;Outaouais (lower);Outaouais ;Run-of- river;92,00;4,00;16,16;1931 
Rapide-des-Cœurs ;Saint-Maurice;Saint-Maurice ;Run-of- river;76,00;6,00;22,69;2008– 2009
Grand-Mère ;Saint-Maurice;Saint-Maurice ;Run-of- river;67,00;4,00;25,61;1916– 1930
Rapide-2 ;Outaouais (upper);Outaouais ;Run-of- river;67,00;4,00;20,43;1954– 1964
Rapide-7 ;Outaouais (upper);Outaouais ;Reservoir ;67,00;4,00;20,73;1941– 1949
Chute-Allard ;Saint-Maurice;Saint-Maurice ;Run-of- river;62,00;6,00;17,83;2008– 2009
Bryson ;Outaouais (lower);Outaouais ;Run-of- river;56,00;3,00;18,29;1925– 1949
Mercier ;Outaouais (lower);Gatineau ;Reservoir ;55,00;5,00;18;2007 
Rivière-des-Prairies ;St. Lawrence River;Rivière- des-Prairies;Run-of- river;54,00;6,00;7,93;1929– 1930
Hart-Jaune;Manicouagan;des-Prairies Hart-Jaune;Reservoir ;51,00;3,00;39,6;1960
Chute-Hemmings ;Saint-François;Saint-François ;Run-of- river;29,00;6,00;14,64;1925 
Hull-2 ;Outaouais (lower);Outaouais ;Run-of- river;27,00;4,00;11,58;1920– 1969
Sept-Chutes ;Sainte-Anne;Sainte-Anne ;Run-of- river;22,00;4,00;124,97;1916– 1999
Lac-Robertson5;Véco;Véco;Reservoir ;22,00;2,00;38,5;1999 1995
Drummondville ;Saint-François;Saint-François ;Run-of- river;16,00;4,00;9,1;1919– 1925
Saint-Narcisse ;Batiscan;Batiscan ;Run-of- river;15,00;2,00;44,81;1926 
Chute-Bell ;Outaouais (lower);Rouge ;Run-of- river;10,00;2,00;17,8;1915– 1999
Mitis-1 ;Mitis;Mitis ;Run-of- river;6,00;2,00;36,58;1922– 1929
Mitis-2;Mitis;Mitis;Run-of- river;4,00;1,00;22,86;1947
