 ELT, QR, HR,    XMAX,       MEAN,
  101,  1,  1, 0.000E+00, 0.000E+00,
  101,  1,  2, 0.000E+00, 0.000E+00,
  101,  1,  3, 0.000E+00, 0.000E+00,
  101,  1,  4, 0.000E+00, 0.000E+00,
  101,  1,  5, 0.000E+00, 0.000E+00,
  101,  1,  6, 0.000E+00, 0.000E+00,
  101,  1,  7, 0.190E+02, 0.719E+00,
  101,  1,  8, 0.580E+03, 0.150E+03,
  101,  1,  9, 0.130E+04, 0.779E+03,
  101,  1, 10, 0.186E+04, 0.137E+04,
  101,  1, 11, 0.223E+04, 0.178E+04,
  101,  1, 12, 0.238E+04, 0.198E+04,
  101,  1, 13, 0.234E+04, 0.196E+04,
  101,  1, 14, 0.215E+04, 0.172E+04,
  101,  1, 15, 0.174E+04, 0.127E+04,
  101,  1, 16, 0.114E+04, 0.649E+03,
  101,  1, 17, 0.399E+03, 0.779E+02,
  101,  1, 18, 0.000E+00, 0.000E+00,
  101,  1, 19, 0.000E+00, 0.000E+00,
  101,  1, 20, 0.000E+00, 0.000E+00,
  101,  1, 21, 0.000E+00, 0.000E+00,
  101,  1, 22, 0.000E+00, 0.000E+00,
  101,  1, 23, 0.000E+00, 0.000E+00,
  101,  1, 24, 0.000E+00, 0.000E+00,
  101,  2,  1, 0.000E+00, 0.000E+00,
  101,  2,  2, 0.000E+00, 0.000E+00,
  101,  2,  3, 0.000E+00, 0.000E+00,
  101,  2,  4, 0.000E+00, 0.000E+00,
  101,  2,  5, 0.370E+02, 0.167E+01,
  101,  2,  6, 0.665E+03, 0.126E+03,
  101,  2,  7, 0.151E+04, 0.554E+03,
  101,  2,  8, 0.231E+04, 0.127E+04,
  101,  2,  9, 0.303E+04, 0.204E+04,
  101,  2, 10, 0.361E+04, 0.268E+04,
  101,  2, 11, 0.400E+04, 0.313E+04,
  101,  2, 12, 0.419E+04, 0.337E+04,
  101,  2, 13, 0.417E+04, 0.339E+04,
  101,  2, 14, 0.392E+04, 0.317E+04,
  101,  2, 15, 0.348E+04, 0.273E+04,
  101,  2, 16, 0.286E+04, 0.211E+04,
  101,  2, 17, 0.212E+04, 0.135E+04,
  101,  2, 18, 0.130E+04, 0.559E+03,
  101,  2, 19, 0.456E+03, 0.864E+02,
  101,  2, 20, 0.100E+01, 0.110E-01,
  101,  2, 21, 0.000E+00, 0.000E+00,
  101,  2, 22, 0.000E+00, 0.000E+00,
  101,  2, 23, 0.000E+00, 0.000E+00,
  101,  2, 24, 0.000E+00, 0.000E+00,
  101,  3,  1, 0.000E+00, 0.000E+00,
  101,  3,  2, 0.000E+00, 0.000E+00,
  101,  3,  3, 0.000E+00, 0.000E+00,
  101,  3,  4, 0.000E+00, 0.000E+00,
  101,  3,  5, 0.241E+03, 0.147E+03,
  101,  3,  6, 0.999E+03, 0.858E+03,
  101,  3,  7, 0.179E+04, 0.167E+04,
  101,  3,  8, 0.256E+04, 0.245E+04,
  101,  3,  9, 0.324E+04, 0.314E+04,
  101,  3, 10, 0.379E+04, 0.371E+04,
  101,  3, 11, 0.418E+04, 0.410E+04,
  101,  3, 12, 0.437E+04, 0.431E+04,
  101,  3, 13, 0.436E+04, 0.430E+04,
  101,  3, 14, 0.415E+04, 0.408E+04,
  101,  3, 15, 0.375E+04, 0.367E+04,
  101,  3, 16, 0.319E+04, 0.309E+04,
  101,  3, 17, 0.250E+04, 0.238E+04,
  101,  3, 18, 0.173E+04, 0.160E+04,
  101,  3, 19, 0.936E+03, 0.791E+03,
  101,  3, 20, 0.196E+03, 0.113E+03,
  101,  3, 21, 0.000E+00, 0.000E+00,
  101,  3, 22, 0.000E+00, 0.000E+00,
  101,  3, 23, 0.000E+00, 0.000E+00,
  101,  3, 24, 0.000E+00, 0.000E+00,
  101,  4,  1, 0.000E+00, 0.000E+00,
  101,  4,  2, 0.000E+00, 0.000E+00,
  101,  4,  3, 0.000E+00, 0.000E+00,
  101,  4,  4, 0.000E+00, 0.000E+00,
  101,  4,  5, 0.900E+01, 0.288E+00,
  101,  4,  6, 0.533E+03, 0.120E+03,
  101,  4,  7, 0.137E+04, 0.661E+03,
  101,  4,  8, 0.217E+04, 0.147E+04,
  101,  4,  9, 0.290E+04, 0.220E+04,
  101,  4, 10, 0.349E+04, 0.279E+04,
  101,  4, 11, 0.391E+04, 0.320E+04,
  101,  4, 12, 0.414E+04, 0.339E+04,
  101,  4, 13, 0.415E+04, 0.335E+04,
  101,  4, 14, 0.394E+04, 0.308E+04,
  101,  4, 15, 0.353E+04, 0.261E+04,
  101,  4, 16, 0.294E+04, 0.196E+04,
  101,  4, 17, 0.223E+04, 0.119E+04,
  101,  4, 18, 0.143E+04, 0.505E+03,
  101,  4, 19, 0.593E+03, 0.106E+03,
  101,  4, 20, 0.200E+02, 0.771E+00,
  101,  4, 21, 0.000E+00, 0.000E+00,
  101,  4, 22, 0.000E+00, 0.000E+00,
  101,  4, 23, 0.000E+00, 0.000E+00,
  101,  4, 24, 0.000E+00, 0.000E+00,
  102,  1,  1, 0.000E+00, 0.000E+00,
  102,  1,  2, 0.000E+00, 0.000E+00,
  102,  1,  3, 0.000E+00, 0.000E+00,
  102,  1,  4, 0.000E+00, 0.000E+00,
  102,  1,  5, 0.000E+00, 0.000E+00,
  102,  1,  6, 0.000E+00, 0.000E+00,
  102,  1,  7, 0.000E+00, 0.000E+00,
  102,  1,  8, 0.333E+03, 0.320E+02,
  102,  1,  9, 0.109E+04, 0.303E+03,
  102,  1, 10, 0.180E+04, 0.613E+03,
  102,  1, 11, 0.225E+04, 0.856E+03,
  102,  1, 12, 0.247E+04, 0.989E+03,
  102,  1, 13, 0.247E+04, 0.979E+03,
  102,  1, 14, 0.235E+04, 0.829E+03,
  102,  1, 15, 0.188E+04, 0.576E+03,
  102,  1, 16, 0.115E+04, 0.259E+03,
  102,  1, 17, 0.320E+03, 0.191E+02,
  102,  1, 18, 0.000E+00, 0.000E+00,
  102,  1, 19, 0.000E+00, 0.000E+00,
  102,  1, 20, 0.000E+00, 0.000E+00,
  102,  1, 21, 0.000E+00, 0.000E+00,
  102,  1, 22, 0.000E+00, 0.000E+00,
  102,  1, 23, 0.000E+00, 0.000E+00,
  102,  1, 24, 0.000E+00, 0.000E+00,
  102,  2,  1, 0.000E+00, 0.000E+00,
  102,  2,  2, 0.000E+00, 0.000E+00,
  102,  2,  3, 0.000E+00, 0.000E+00,
  102,  2,  4, 0.000E+00, 0.000E+00,
