"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-05-01 00:00","2013","05","01","00:00","‡","14.9","","8.4","","65","","28","","3","","24.1","","102.07","","","","","","NA"
"2013-05-01 01:00","2013","05","01","01:00","‡","14.0","","8.0","","67","","16","","4","","24.1","","102.12","","","","","","Mainly Clear"
"2013-05-01 02:00","2013","05","01","02:00","‡","12.9","","8.0","","72","","18","","2","","24.1","","102.18","","","","","","NA"
"2013-05-01 03:00","2013","05","01","03:00","‡","12.0","","8.1","","77","","13","","5","","24.1","","102.25","","","","","","NA"
"2013-05-01 04:00","2013","05","01","04:00","‡","10.2","","7.6","","84","","21","","8","","24.1","","102.31","","","","","","Mainly Clear"
"2013-05-01 05:00","2013","05","01","05:00","‡","9.8","","8.1","","89","","10","","3","","48.3","","102.36","","","","","","NA"
"2013-05-01 06:00","2013","05","01","06:00","‡","12.6","","9.3","","80","","12","","5","","48.3","","102.44","","","","","","NA"
"2013-05-01 07:00","2013","05","01","07:00","‡","14.3","","10.0","","75","","36","","3","","48.3","","102.53","","","","","","Mainly Clear"
"2013-05-01 08:00","2013","05","01","08:00","‡","17.4","","10.4","","63","","15","","4","","48.3","","102.55","","","","","","NA"
"2013-05-01 09:00","2013","05","01","09:00","‡","19.2","","9.5","","53","","12","","3","","48.3","","102.55","","","","","","NA"
"2013-05-01 10:00","2013","05","01","10:00","‡","20.5","","9.6","","49","","22","","7","","24.1","","102.54","","","","","","Mainly Clear"
"2013-05-01 11:00","2013","05","01","11:00","‡","22.4","","10.7","","47","","17","","8","","24.1","","102.47","","","","","","NA"
"2013-05-01 12:00","2013","05","01","12:00","‡","22.9","","9.1","","41","","24","","3","","48.3","","102.44","","","","","","NA"
"2013-05-01 13:00","2013","05","01","13:00","‡","24.1","","8.7","","37","","14","","9","","48.3","","102.37","","25","","","","Mostly Cloudy"
"2013-05-01 14:00","2013","05","01","14:00","‡","25.4","","7.3","","31","","16","","19","","48.3","","102.32","","26","","","","NA"
"2013-05-01 15:00","2013","05","01","15:00","‡","25.9","","6.2","","28","","17","","10","","48.3","","102.30","","26","","","","NA"
"2013-05-01 16:00","2013","05","01","16:00","‡","25.3","","6.2","","29","","20","","5","","48.3","","102.32","","25","","","","Mostly Cloudy"
"2013-05-01 17:00","2013","05","01","17:00","‡","25.0","","4.4","","26","","10","","9","","48.3","","102.31","","","","","","NA"
"2013-05-01 18:00","2013","05","01","18:00","‡","24.7","","3.0","","24","","11","","4","","48.3","","102.32","","","","","","NA"
"2013-05-01 19:00","2013","05","01","19:00","‡","24.0","","4.1","","27","","12","","8","","48.3","","102.31","","","","","","Mainly Clear"
"2013-05-01 20:00","2013","05","01","20:00","‡","23.1","","4.8","","30","","9","","6","","24.1","","102.34","","","","","","NA"
"2013-05-01 21:00","2013","05","01","21:00","‡","21.0","","5.5","","36","","35","","3","","24.1","","102.37","","","","","","NA"
"2013-05-01 22:00","2013","05","01","22:00","‡","18.6","","6.6","","45","","12","","4","","24.1","","102.35","","","","","","Mainly Clear"
"2013-05-01 23:00","2013","05","01","23:00","‡","18.8","","5.8","","42","","8","","2","","24.1","","102.35","","","","","","NA"
"2013-05-02 00:00","2013","05","02","00:00","‡","16.2","","7.0","","54","","20","","8","","24.1","","102.37","","","","","","NA"
