"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.75"
"Elevation","36.00"
"Climate Identifier","7025250"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2010-05-01 00:00","2010","05","01","00:00"," ","10.9","","2.1","","55","","15","","9","","25.0","","100.41","","","","","","Mainly Clear"
"2010-05-01 01:00","2010","05","01","01:00"," ","9.8","","2.8","","62","","","","0","","25.0","","100.44","","","","","","Mainly Clear"
"2010-05-01 02:00","2010","05","01","02:00"," ","11.0","","3.8","","61","","24","","7","","25.0","","100.51","","","","","","Mostly Cloudy"
"2010-05-01 03:00","2010","05","01","03:00"," ","11.0","","3.3","","59","","","","0","","25.0","","100.53","","","","","","Mostly Cloudy"
"2010-05-01 04:00","2010","05","01","04:00"," ","11.0","","3.4","","59","","","","0","","25.0","","100.54","","","","","","Mostly Cloudy"
"2010-05-01 05:00","2010","05","01","05:00"," ","10.8","","4.2","","64","","","","0","","25.0","","100.60","","","","","","Mostly Cloudy"
"2010-05-01 06:00","2010","05","01","06:00"," ","12.9","","-0.2","","40","","8","","13","","25.0","","100.56","","","","","","Mostly Cloudy"
"2010-05-01 07:00","2010","05","01","07:00"," ","13.1","","1.0","","44","","11","","6","","25.0","","100.65","","","","","","Mostly Cloudy"
"2010-05-01 08:00","2010","05","01","08:00"," ","14.2","","-0.7","","36","","8","","9","","24.1","","100.63","","","","","","Cloudy"
"2010-05-01 09:00","2010","05","01","09:00"," ","15.3","","0.5","","36","","9","","7","","48.3","","100.68","","","","","","Cloudy"
"2010-05-01 10:00","2010","05","01","10:00"," ","15.8","","1.0","","37","","10","","17","","48.3","","100.60","","","","","","Cloudy"
"2010-05-01 11:00","2010","05","01","11:00"," ","16.7","","2.2","","38","","11","","19","","48.3","","100.50","","","","","","Cloudy"
"2010-05-01 12:00","2010","05","01","12:00"," ","18.2","","2.1","","34","","12","","15","","48.3","","100.48","","","","","","Cloudy"
"2010-05-01 13:00","2010","05","01","13:00"," ","18.4","","2.1","","34","","9","","15","","48.3","","100.40","","","","","","Cloudy"
"2010-05-01 14:00","2010","05","01","14:00"," ","19.2","","2.7","","33","","12","","15","","48.3","","100.35","","","","","","Cloudy"
"2010-05-01 15:00","2010","05","01","15:00"," ","18.2","","5.3","","43","","6","","11","","48.3","","100.32","","","","","","Cloudy"
